epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.638,1.6505,2.37012,1.24429,0.87713,0.71023,0.80732,0.41196,1.60536,1.73143,1.35388,0.000665336,0.000665336,0.000665336
2,1607.62,1.69524,1.51976,1.31218,0.84731,0.7567,0.84159,0.36636,1.64539,1.23113,1.35379,0.00130563,0.00130563,0.00130563
